Job Title,Company,Location,Expiry Date
Developers Wanted for Global Opportunities,Vacancy Mail,Harare,"May 15, 2025"
Chief Risk Analyst - Quantitative Risk and Data Analytics,Proserve Consulting,Harare,"April 17, 2025"
Graduate Trainee Software Developer,wCyber Solutions (Pvt) Ltd,Harare,"April 30, 2025"
Cashier,Ledger Paints (Pvt) Ltd,Harare,"April 28, 2025"
General Hand,Vacancy Mail,Harare,"April 18, 2025"
Business Development Executive,Vacancy Mail,Harare,"April 18, 2025"
Gardener Kwekwe,Vacancy Mail,Kwekwe,"April 20, 2025"
Drivers,Vacancy Mail,Harare,"April 18, 2025"
Invitation For Supplier Registration,The Halo Trust,Harare,"April 30, 2025"
Farm Supervisor,Vacancy Mail,Midlands,"April 30, 2025"
